iter	Logloss
0	0.6921516751
1	0.6911377574
2	0.6902012255
3	0.6892368772
4	0.688277232
5	0.6873690446
6	0.6864480593
7	0.6855509214
8	0.6847243621
9	0.6838562757
10	0.6830019726
11	0.6821736768
12	0.6814112178
13	0.680617608
14	0.6798646208
15	0.6790932519
16	0.6783471242
17	0.6776125388
18	0.6769038511
19	0.6762234134
20	0.6755501676
21	0.6748374586
22	0.6741620411
23	0.673507447
24	0.6728385363
25	0.6722159249
26	0.6715888956
27	0.6709644178
28	0.6703529977
29	0.6697705025
30	0.669160407
31	0.6686068756
32	0.6680357034
33	0.6674719307
34	0.6669688885
35	0.6664336695
36	0.6659513207
37	0.6654112216
38	0.6649207021
39	0.6643792952
40	0.6638924679
41	0.6634167323
42	0.6629034421
43	0.6623915575
44	0.6619050676
45	0.6614392224
46	0.6609572297
47	0.6604912595
48	0.6600026637
49	0.6595765061
50	0.6591497443
51	0.6587317187
52	0.6583477495
53	0.6579291214
54	0.6575444553
55	0.6571177544
56	0.6567092274
57	0.6563042071
58	0.6559311711
59	0.655550312
60	0.6551445846
61	0.6547468372
62	0.6543961687
63	0.6540402116
64	0.6536656434
65	0.6532792561
66	0.6529246811
67	0.6525614898
68	0.652238106
69	0.6518822653
70	0.6515170086
71	0.6511792728
72	0.65082502
73	0.6505042417
74	0.6501525505
75	0.6498016812
76	0.6494914883
77	0.649194014
78	0.6489021488
79	0.6486153156
80	0.6483211639
81	0.6479965836
82	0.6476785424
83	0.6473571818
84	0.6470730486
85	0.6467822094
86	0.6465239046
87	0.6462279659
88	0.6459536251
89	0.6457028059
90	0.6454294068
91	0.6451581776
92	0.644891714
93	0.6446063101
94	0.6443584491
95	0.6440990897
96	0.6438188613
97	0.6435678953
98	0.6433275132
99	0.6430771851
100	0.642817257
101	0.6425785151
102	0.6423288114
103	0.6420928269
104	0.6418612567
105	0.6415993155
106	0.6413754689
107	0.6411414064
108	0.6409279766
109	0.6406887909
110	0.6404724907
111	0.6402576215
112	0.6400292305
113	0.6398174561
114	0.6396109281
115	0.6394156639
116	0.639216581
